publisher,n
Grand Central,63
Bantam,54
Berkley,40
Vintage,28
Ballantine,27
Putnam,26
Dell,25
"Little, Brown",24
Simon & Schuster,20
Knopf,19
Broadway,18
Scribner,18
Morrow/HarperCollins,17
Vintage Crime/Black Lizard,17
Vision,17
Random House,14
Doubleday,13
Mira,12
St. Martin's,12
Anchor,10
"Back Bay/Little, Brown",10
Jove,10
Harper/HarperCollins,9
Penguin,9
Signet,9
Ace,8
Pocket Books,8
St. Martin’s Griffin,8
HarperOne,7
St. Martin’s,7
Washington Square,7
Delacorte,6
HQN,6
Harlequin,6
Harper,6
Harper Perennial,6
Riverhead,6
Tor,6
Viking,6
Zebra/Kensington,6
Algonquin,5
Harlequin Mira,5
Harper Paperbacks,5
Atria,4
FrontLine,4
HarperOne/HarperCollins,4
Hyperion,4
Picador,4
Amy Einhorn/Putnam,3
Avon/HarperCollins,3
Crown,3
Dial,3
Dutton,3
Emily Bestler/Atria,3
Gallery Books,3
Orbit,3
Pocket,3
Three Rivers,3
Atria/Emily Bestler,2
Bellevue Literary Press,2
DAW,2
Ecco/HarperCollins,2
"Farrar, Straus & Giroux",2
Gallery,2
Kensington,2
Mariner/Houghton Mifflin,2
"Mulholland/Little, Brown",2
Pantheon,2
Penguin Press,2
Pinnacle/Kensington,2
Pocket Star,2
"Reagan Arthur/Back Bay/Little, Brown",2
Spiegel & Grau,2
Threshold Editions/Mercury Radio Arts,2
Vintage International,2
Windblown Media,2
Andrews McMeel,1
Avon,1
Bloomsbury,1
Del Rey,1
Del Rey/Ballantine,1
Del Rey/Ballantine/LucasBooks,1
Ecco/HarperCollins Publishers,1
El León Literary Arts/Atlantic Monthly,1
Europa,1
Europa Editions,1
FaithWords,1
Forever,1
Forge,1
Free Press,1
Grove,1
Grove Press,1
Harlequin MIRA,1
Hogarth,1
Houghton Mifflin Harcourt,1
John Macrae/Holt,1
Liveright,1
Marian Wood/Putnam,1
Mariner,1
Mariner/Houghton Mifflin Harcourt,1
Minotaur,1
Morrow,1
Morrow/HarperCollins Publishers,1
Nan A. Talese/Doubleday,1
New American Library,1
Pamela Dorman/Viking,1
Perennial/HarperCollins,1
Scout Press,1
Silhouette,1
Thomas Dunne/St. Martin's,1
Threshold Editions,1
Titan Books,1
Tor Teen,1
Vintage Contemporaries,1
Zondervan,1
